PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
28302,20130102,UL,UNILEVER PLC,39.01000,0.007490,1
28302,20130103,UL,UNILEVER PLC,38.69000,-0.008203,1
28302,20130104,UL,UNILEVER PLC,38.90000,0.005428,1
28302,20130107,UL,UNILEVER PLC,38.72000,-0.004627,1
28302,20130108,UL,UNILEVER PLC,38.75000,0.000775,1
28302,20130109,UL,UNILEVER PLC,38.38000,-0.009548,1
28302,20130110,UL,UNILEVER PLC,38.73000,0.009119,1
28302,20130111,UL,UNILEVER PLC,38.61000,-0.003098,1
28302,20130114,UL,UNILEVER PLC,38.46000,-0.003885,1
28302,20130115,UL,UNILEVER PLC,38.81000,0.009100,1
28302,20130116,UL,UNILEVER PLC,38.97000,0.004123,1
28302,20130117,UL,UNILEVER PLC,38.80000,-0.004362,1
28302,20130118,UL,UNILEVER PLC,38.69000,-0.002835,1
28302,20130122,UL,UNILEVER PLC,39.02000,0.008529,1
28302,20130123,UL,UNILEVER PLC,40.05000,0.026397,1
28302,20130124,UL,UNILEVER PLC,39.81000,-0.005992,1
28302,20130125,UL,UNILEVER PLC,40.16000,0.008792,1
28302,20130128,UL,UNILEVER PLC,40.12000,-0.000996,1
28302,20130129,UL,UNILEVER PLC,40.35000,0.005733,1
28302,20130130,UL,UNILEVER PLC,40.51000,0.003965,1
28302,20130131,UL,UNILEVER PLC,40.69000,0.004443,1
28302,20130201,UL,UNILEVER PLC,40.95000,0.006390,1
28302,20130204,UL,UNILEVER PLC,40.19000,-0.018559,1
28302,20130205,UL,UNILEVER PLC,40.62000,0.010699,1
28302,20130206,UL,UNILEVER PLC,39.91000,-0.009510,1
28302,20130207,UL,UNILEVER PLC,39.57000,-0.008519,1
28302,20130208,UL,UNILEVER PLC,39.65000,0.002022,1
28302,20130211,UL,UNILEVER PLC,39.52000,-0.003279,1
28302,20130212,UL,UNILEVER PLC,39.76000,0.006073,1
28302,20130213,UL,UNILEVER PLC,39.57000,-0.004779,1
28302,20130214,UL,UNILEVER PLC,40.14000,0.014405,1
28302,20130215,UL,UNILEVER PLC,39.79000,-0.008719,1
28302,20130219,UL,UNILEVER PLC,40.39000,0.015079,1
28302,20130220,UL,UNILEVER PLC,40.40000,0.000248,1
28302,20130221,UL,UNILEVER PLC,39.91000,-0.012129,1
28302,20130222,UL,UNILEVER PLC,40.23000,0.008018,1
28302,20130225,UL,UNILEVER PLC,39.27000,-0.023863,1
28302,20130226,UL,UNILEVER PLC,39.07000,-0.005093,1
28302,20130227,UL,UNILEVER PLC,39.75000,0.017405,1
28302,20130228,UL,UNILEVER PLC,39.85000,0.002516,1
28302,20130301,UL,UNILEVER PLC,40.05000,0.005019,1
28302,20130304,UL,UNILEVER PLC,40.32000,0.006742,1
28302,20130305,UL,UNILEVER PLC,40.57000,0.006200,1
28302,20130306,UL,UNILEVER PLC,40.38000,-0.004683,1
28302,20130307,UL,UNILEVER PLC,40.77000,0.009658,1
28302,20130308,UL,UNILEVER PLC,40.89000,0.002943,1
28302,20130311,UL,UNILEVER PLC,40.95000,0.001467,1
28302,20130312,UL,UNILEVER PLC,40.90000,-0.001221,1
28302,20130313,UL,UNILEVER PLC,40.94000,0.000978,1
